new_code;type;pc2003;;;;;;;;;;;;;;;;
155152Z1;aggregate;15515243;;;;;;;;;;;;;;;;
155152Z1;aggregate;15515247;;;;;;;;;;;;;;;;No action needs to be taken
157010Z3;aggregate;15711010;;;;;;;;;;;;;;;;
157010Z3;aggregate;15711030;;;;;;;;;;;;;;;;
157010Z3;aggregate;15721060;;;;;;;;;;;;;;;;
171042Z1;aggregate;17104231;;;;;;;;;;;;;;;;
171042Z1;aggregate;17104233;;;;;;;;;;;;;;;;
171042Z1;aggregate;17104235;;;;;;;;;;;;;;;;No action needs to be taken
171042Z2;aggregate;17104251;;;;;;;;;;;;;;;;
171042Z2;aggregate;17104252;;;;;;;;;;;;;;;;
171042Z2;aggregate;17104253;;;;;;;;;;;;;;;;
171042Z2;aggregate;17104259;;;;;;;;;;;;;;;;
171043Z1;aggregate;17104332;;;;;;;;;;;;;;;;
171043Z1;aggregate;17104333;;;;;;;;;;;;;;;;
171043Z1;aggregate;17104335;;;;;;;;;;;;;;;;
171043Z2;aggregate;17104352;;;;;;;;;;;;;;;;
171043Z2;aggregate;17104353;;;;;;;;;;;;;;;;
171043Z2;aggregate;17104355;;;;;;;;;;;;;;;;
171052Z1;aggregate;17105232;;;;;;;;;;;;;;;;
171052Z1;aggregate;17105233;;;;;;;;;;;;;;;;
171052Z1;aggregate;17105235;;;;;;;;;;;;;;;;
171052Z2;aggregate;17105252;;;;;;;;;;;;;;;;
171052Z2;aggregate;17105253;;;;;;;;;;;;;;;;
171052Z2;aggregate;17105255;;;;;;;;;;;;;;;;
171052Z3;aggregate;17105272;;;;;;;;;;;;;;;;
171052Z3;aggregate;17105273;;;;;;;;;;;;;;;;
171052Z3;aggregate;17105275;;;;;;;;;;;;;;;;
171052Z4;aggregate;17105292;;;;;;;;;;;;;;;;
171052Z4;aggregate;17105293;;;;;;;;;;;;;;;;
171052Z4;aggregate;17105295;;;;;;;;;;;;;;;;
171053Z1;aggregate;17105332;;;;;;;;;;;;;;;;
171053Z1;aggregate;17105333;;;;;;;;;;;;;;;;
171053Z1;aggregate;17105335;;;;;;;;;;;;;;;;
171053Z1;aggregate;17105352;;;;;;;;;;;;;;;;
171053Z1;aggregate;17105353;;;;;;;;;;;;;;;;
171053Z1;aggregate;17105355;;;;;;;;;;;;;;;;
171054Z1;aggregate;17105402;;;;;;;;;;;;;;;;
171054Z1;aggregate;17105403;;;;;;;;;;;;;;;;
171054Z1;aggregate;17105405;;;;;;;;;;;;;;;;
