cn2003	notpc	hs6plus
"01011010"	1	""
"01011090"	1	""
"01019011"	1	""
"01019019"	1	""
"01019030"	1	""
"01019090"	1	""
"01021010"	1	""
"01021030"	1	""
"01021090"	1	""
"01029005"	1	""
"01029021"	1	""
"01029029"	1	""
"01029041"	1	""
"01029049"	1	""
"01029051"	1	""
"01029059"	1	""
"01029061"	1	""
"01029069"	1	""
"01029071"	1	""
"01029079"	1	""
"01029090"	1	""
"01031000"	1	""
"01039110"	1	""
"01039190"	1	""
"01039211"	1	""
"01039219"	1	""
"01039290"	1	""
"01041010"	1	""
"01041030"	1	""
"01041080"	1	""
"01042010"	1	""
"01042090"	1	""
"01051111"	1	""
"01051119"	1	""
"01051191"	1	""
"01051199"	1	""
"01051200"	1	""
"01051920"	1	""
"01051990"	1	""
"01059200"	1	""
"01059300"	1	""
"01059910"	1	""
"01059920"	1	""
"01059930"	1	""
"01059950"	1	""
"01061100"	1	""
"01061200"	1	""
"01061910"	1	""
"01061990"	1	""
"01062000"	1	""
"01063100"	1	""
"01063200"	1	""
"01063910"	1	""
"01063990"	1	""
"01069000"	1	""
"02011000"	0	"882"
"02012020"	0	"882"
"02012030"	0	"882"
"02012050"	0	"882"
"02012090"	0	"882"
"02013000"	0	"882"
"02021000"	0	"13"
"02022010"	0	"13"
"02022030"	0	"13"
"02022050"	0	"13"
"02022090"	0	"13"
"02023010"	0	"13"
"02023050"	0	"13"
"02023090"	0	"13"
"02031110"	0	"020311"
"02031190"	0	"020311"
"02031211"	0	"020312"
"02031219"	0	"020312"
"02031290"	0	"020312"
"02031911"	0	"020319"
"02031913"	0	"020319"
"02031915"	0	"020319"
"02031955"	0	"020319"
"02031959"	0	"020319"
"02031990"	0	"020319"
"02032110"	0	"020321"
"02032190"	0	"020321"
"02032211"	0	"020322"
"02032219"	0	"020322"
"02032290"	0	"020322"
"02032911"	0	"020329"
"02032913"	0	"020329"
"02032915"	0	"020329"
"02032955"	0	"020329"
"02032959"	0	"020329"
"02032990"	0	"020329"
"02041000"	0	"14"
"02042100"	0	"14"
"02042210"	0	"14"
"02042230"	0	"14"
"02042250"	0	"14"
"02042290"	0	"14"
"02042300"	0	"14"
"02043000"	0	"15"
"02044100"	0	"15"
"02044210"	0	"15"
"02044230"	0	"15"
"02044250"	0	"15"
"02044290"	0	"15"
"02044310"	0	"15"
"02044390"	0	"15"
"02045011"	0	"020450"
"02045013"	0	"020450"
"02045015"	0	"020450"
"02045019"	0	"020450"
"02045031"	0	"020450"
"02045039"	0	"020450"
"02045051"	0	"020450"
"02045053"	0	"020450"
"02045055"	0	"020450"
"02045059"	0	"020450"
"02045071"	0	"020450"
"02045079"	0	"020450"
"02050011"	0	"020500"
"02050019"	0	"020500"
"02050090"	0	"020500"
