cn2003	pc2003	many_one	one_many	many_many	simple	pc8plus	synthetic	notpc
"02011000"	"15111140"	1	0	0	0	"15111140"	0	0
"02012020"	"15111140"	1	0	0	0	"15111140"	0	0
"02012030"	"15111140"	1	0	0	0	"15111140"	0	0
"02012050"	"15111140"	1	0	0	0	"15111140"	0	0
"02012090"	"15111190"	1	0	0	0	"15111190"	0	0
"02013000"	"15111190"	1	0	0	0	"15111190"	0	0
"02021000"	"15111200"	1	0	0	0	"15111200"	0	0
"02022010"	"15111200"	1	0	0	0	"15111200"	0	0
"02022030"	"15111200"	1	0	0	0	"15111200"	0	0
"02022050"	"15111200"	1	0	0	0	"15111200"	0	0
"02022090"	"15111200"	1	0	0	0	"15111200"	0	0
"02023010"	"15111200"	1	0	0	0	"15111200"	0	0
"02023050"	"15111200"	1	0	0	0	"15111200"	0	0
"02023090"	"15111200"	1	0	0	0	"15111200"	0	0
"02031110"	"15111330"	1	0	0	0	"15111330"	0	0
"02031190"	"15111330"	1	0	0	0	"15111330"	0	0
"02031211"	"15111350"	1	0	0	0	"15111350"	0	0
"02031219"	"15111350"	1	0	0	0	"15111350"	0	0
"02031290"	"15111350"	1	0	0	0	"15111350"	0	0
"02031911"	"15111390"	1	0	0	0	"15111390"	0	0
"02031913"	"15111390"	1	0	0	0	"15111390"	0	0
"02031915"	"15111390"	1	0	0	0	"15111390"	0	0
"02031955"	"15111390"	1	0	0	0	"15111390"	0	0
"02031959"	"15111390"	1	0	0	0	"15111390"	0	0
"02031990"	"15111390"	1	0	0	0	"15111390"	0	0
"02032110"	"15111430"	1	0	0	0	"15111430"	0	0
"02032190"	"15111430"	1	0	0	0	"15111430"	0	0
"02032211"	"15111450"	1	0	0	0	"15111450"	0	0
"02032219"	"15111450"	1	0	0	0	"15111450"	0	0
"02032290"	"15111450"	1	0	0	0	"15111450"	0	0
"02032911"	"15111490"	1	0	0	0	"15111490"	0	0
"02032913"	"15111490"	1	0	0	0	"15111490"	0	0
"02032915"	"15111490"	1	0	0	0	"15111490"	0	0
