pc2005;type;new_code
15139000;industrial services;
15339000;industrial services;
15711010;aggregate;157010Z3
15711033;aggregate;157010Z3
15711035;aggregate;157010Z3
15711037;aggregate;157010Z3
15711039;aggregate;157010Z3
15721060;aggregate;157010Z3
17104332;aggregate;171043Z1
17104333;aggregate;171043Z1
17104335;aggregate;171043Z1
17104352;aggregate;171043Z2
17104353;aggregate;171043Z2
17104355;aggregate;171043Z2
17105330;aggregate;171053Z1
17105350;aggregate;171053Z1
17202014;aggregate;172020Z1
17202017;aggregate;172020Z1
17202019;aggregate;172020Z1
17202031;aggregate;172020Z5
17202042;aggregate;172020Z3
17202044;aggregate;172020Z3
17202049;aggregate;172020Z3
17202072;aggregate;172020Z5
17202074;aggregate;172020Z5
17202079;aggregate;172020Z5
17301010;industrial services;
17301021;industrial services;
17301022;industrial services;
17301023;industrial services;
17301024;industrial services;
17301025;industrial services;
17301026;industrial services;
17301027;industrial services;
17301028;industrial services;
17302110;industrial services;
17302120;industrial services;
17302130;industrial services;
17302140;industrial services;
17302150;industrial services;
17302160;industrial services;
17302170;industrial services;
17302180;industrial services;
17302190;industrial services;
17302210;industrial services;
17302220;industrial services;
17302230;industrial services;
17302240;industrial services;
17302250;industrial services;
17302260;industrial services;
17302270;industrial services;
17302280;industrial services;
17302290;industrial services;
17303010;industrial services;
17303020;industrial services;
17303030;industrial services;
17303040;industrial services;
17303050;industrial services;
17303060;industrial services;
17303070;industrial services;
17303080;industrial services;
17303090;industrial services;
17304010;industrial services;
17304020;industrial services;
17304030;industrial services;
17304040;industrial services;
17304050;industrial services;
17304060;industrial services;
17304070;industrial services;
17304080;industrial services;
17304090;industrial services;
17304095;industrial services;
17409000;industrial services;
17529000;industrial services;
20109000;industrial services;
22112200;industrial services;
22113250;industrial services;
22114200;industrial services;
22115200;industrial services;
22121200;industrial services;
22131200;industrial services;
22142200;industrial services;
22151250;industrial services;
22151400;industrial services;
22151600;industrial services;
22211000;industrial services;
22223100;industrial services;
22223220;industrial services;
22223230;industrial services;
22223243;industrial services;
22223245;industrial services;
22223250;industrial services;
22223270;industrial services;
22223290;industrial services;
22231010;industrial services;
22231030;industrial services;
22231050;industrial services;
22241000;industrial services;
22251000;industrial services;
22311010;industrial services;
22311030;industrial services;
22311050;industrial services;
22311070;industrial services;
22321050;industrial services;
22321070;industrial services;
22331030;industrial services;
22331050;industrial services;
22331070;industrial services;
25232000;aggregate;399900Z0
25249010;no cn correspondence;
25249025;no cn correspondence;
25249027;no cn correspondence;
25249030;no cn correspondence;
25249040;no cn correspondence;
25249050;no cn correspondence;
25249060;no cn correspondence;
25249080;no cn correspondence;
25249093;no cn correspondence;
25249097;no cn correspondence;
26611300;aggregate;266013Z1
26612000;aggregate;399900Z0
26661200;aggregate;266013Z1
27103121;aggregate;271031Z0
27103122;aggregate;271031Z0
27103221;aggregate;271032Z0
27103222;aggregate;271032Z0
27103321;aggregate;271033Z0
27103322;aggregate;271033Z0
27104111;aggregate;271041Z5
27104112;aggregate;271041Z5
27104121;aggregate;271041Z6
27104122;aggregate;271041Z6
27107111;aggregate;271071Z0
27107112;aggregate;271071Z0
27321011;aggregate;273210Z5
27321012;aggregate;273210Z5
27321014;aggregate;273210Z5
27321016;aggregate;273210Z5
27321018;aggregate;273210Z6
27321022;aggregate;273210Z5
27321028;aggregate;273210Z6
27322014;aggregate;273220Z1
27322016;aggregate;273220Z1
27322018;aggregate;273220Z2
27322022;aggregate;273220Z1
27322024;aggregate;273220Z1
27322026;aggregate;273220Z2
27511110;industrial services;
27511130;industrial services;
27511140;industrial services;
27511150;industrial services;
27511190;industrial services;
27511210;industrial services;
27511220;industrial services;
27511230;industrial services;
27511240;industrial services;
27511250;industrial services;
27511290;industrial services;
27511310;industrial services;
27511320;industrial services;
27511330;industrial services;
27511340;industrial services;
27511350;industrial services;
27511390;industrial services;
27521010;industrial services;
27521030;industrial services;
27521040;industrial services;
27521050;industrial services;
27521090;industrial services;
27531010;industrial services;
27531020;industrial services;
27531030;industrial services;
27531040;industrial services;
27531050;industrial services;
27531090;industrial services;
27541010;industrial services;
27541020;industrial services;
27541030;industrial services;
27541040;industrial services;
27541050;industrial services;
27541090;industrial services;
28111050;aggregate;399900Z0
28119100;industrial services;
28219200;industrial services;
28229200;industrial services;
28309100;industrial services;
28309200;industrial services;
28401133;industrial services;
28401135;industrial services;
28401137;industrial services;
28401151;industrial services;
28401152;industrial services;
28401153;industrial services;
28401154;industrial services;
28401156;industrial services;
28401157;industrial services;
28401158;industrial services;
28401210;industrial services;
28401223;industrial services;
28401225;industrial services;
28401230;industrial services;
28401240;industrial services;
28401250;industrial services;
28401260;industrial services;
28401270;industrial services;
28401280;industrial services;
28401290;industrial services;
28401310;industrial services;
28401320;industrial services;
28401330;industrial services;
28401340;industrial services;
28401350;industrial services;
28401370;industrial services;
28402010;industrial services;
28402020;industrial services;
28402030;industrial services;
28402040;industrial services;
28402050;industrial services;
28402070;industrial services;
28402080;industrial services;
28511130;industrial services;
28511150;industrial services;
28511170;industrial services;
28511190;industrial services;
28511230;industrial services;
28511250;industrial services;
28512100;industrial services;
28512230;industrial services;
28512250;industrial services;
28512270;industrial services;
28512290;industrial services;
28521001;industrial services;
28521003;industrial services;
28521005;industrial services;
28521007;industrial services;
28521009;industrial services;
28521011;industrial services;
28521013;industrial services;
28522000;industrial services;
29119100;industrial services;
29119200;industrial services;
29129100;industrial services;
29129200;industrial services;
29139200;industrial services;
29219100;industrial services;
29219200;industrial services;
29229100;industrial services;
29229200;industrial services;
29239100;industrial services;
29239200;industrial services;
29249100;industrial services;
29249200;industrial services;
29329100;industrial services;
29329200;industrial services;
29429100;industrial services;
29429200;industrial services;
29439100;industrial services;
29439200;industrial services;
29519100;industrial services;
29519200;industrial services;
29529100;industrial services;
29529200;industrial services;
29539100;industrial services;
29539200;industrial services;
29549100;industrial services;
29549200;industrial services;
29559100;industrial services;
29559200;industrial services;
29569100;industrial services;
29569200;industrial services;
30019000;industrial services;
30029000;industrial services;
31109100;industrial services;
31109200;industrial services;
31209100;industrial services;
31209200;industrial services;
31629100;industrial services;
31629200;industrial services;
32209100;industrial services;
32209200;industrial services;
