cn2005	pc2005	many_one	one_many	many_many	simple	pc8plus	synthetic	_merge
"23099010"	"157010Z3"	1	0	0	0	"157010Z3"	0	1
"23099041"	"157010Z3"	1	0	0	0	"157010Z3"	0	1
"23099033"	"157010Z3"	1	0	0	0	"157010Z3"	0	1
"23099049"	"157010Z3"	1	0	0	0	"157010Z3"	0	1
"23099020"	"157010Z3"	1	0	0	0	"157010Z3"	0	1
"23099035"	"157010Z3"	1	0	0	0	"157010Z3"	0	1
"23099039"	"157010Z3"	1	0	0	0	"157010Z3"	0	1
"23099070"	"157010Z3"	1	0	0	0	"157010Z3"	0	1
"23099095"	"157010Z3"	1	0	0	0	"157010Z3"	0	1
"23099031"	"157010Z3"	1	0	0	0	"157010Z3"	0	1
"23099059"	"157010Z3"	1	0	0	0	"157010Z3"	0	1
"23099043"	"157010Z3"	1	0	0	0	"157010Z3"	0	1
"23099091"	"157010Z3"	1	0	0	0	"157010Z3"	0	1
"23099099"	"157010Z3"	1	0	0	0	"157010Z3"	0	1
"23099053"	"157010Z3"	1	0	0	0	"157010Z3"	0	1
"23099051"	"157010Z3"	1	0	0	0	"157010Z3"	0	1
"52061200"	"171043Z1"	1	0	0	0	"171043Z1"	0	1
"52053100"	"171043Z1"	1	0	0	0	"171043Z1"	0	1
"52063400"	"171043Z1"	1	0	0	0	"171043Z1"	0	1
"52063200"	"171043Z1"	1	0	0	0	"171043Z1"	0	1
"52051400"	"171043Z1"	1	0	0	0	"171043Z1"	0	1
"52051100"	"171043Z1"	1	0	0	0	"171043Z1"	0	1
"52051300"	"171043Z1"	1	0	0	0	"171043Z1"	0	1
"52063300"	"171043Z1"	1	0	0	0	"171043Z1"	0	1
"52061300"	"171043Z1"	1	0	0	0	"171043Z1"	0	1
"52053400"	"171043Z1"	1	0	0	0	"171043Z1"	0	1
"52051510"	"171043Z1"	1	0	0	0	"171043Z1"	0	1
"52061500"	"171043Z1"	1	0	0	0	"171043Z1"	0	1
"52061400"	"171043Z1"	1	0	0	0	"171043Z1"	0	1
"52051200"	"171043Z1"	1	0	0	0	"171043Z1"	0	1
"52063500"	"171043Z1"	1	0	0	0	"171043Z1"	0	1
"52053500"	"171043Z1"	1	0	0	0	"171043Z1"	0	1
"52063100"	"171043Z1"	1	0	0	0	"171043Z1"	0	1
"52051590"	"171043Z1"	1	0	0	0	"171043Z1"	0	1
"52053300"	"171043Z1"	1	0	0	0	"171043Z1"	0	1
"52053200"	"171043Z1"	1	0	0	0	"171043Z1"	0	1
"52061100"	"171043Z1"	1	0	0	0	"171043Z1"	0	1
"52052800"	"171043Z2"	1	0	0	0	"171043Z2"	0	1
