"Year","PRODCOM code","CN code"
"2003","15111140","02011000"
"2003","15111140","02012020"
"2003","15111140","02012030"
"2003","15111140","02012050"
"2003","15111190","02012090"
"2003","15111190","02013000"
"2003","15111200","02021000"
"2003","15111200","02022010"
"2003","15111200","02022030"
"2003","15111200","02022050"
"2003","15111200","02022090"
"2003","15111200","02023010"
"2003","15111200","02023050"
"2003","15111200","02023090"
"2003","15111330","02031110"
"2003","15111330","02031190"
"2003","15111350","02031211"
"2003","15111350","02031219"
"2003","15111350","02031290"
"2003","15111390","02031911"
"2003","15111390","02031913"
"2003","15111390","02031915"
"2003","15111390","02031955"
"2003","15111390","02031959"
"2003","15111390","02031990"
"2003","15111430","02032110"
"2003","15111430","02032190"
"2003","15111450","02032211"
"2003","15111450","02032219"
"2003","15111450","02032290"
"2003","15111490","02032911"
"2003","15111490","02032913"
"2003","15111490","02032915"
"2003","15111490","02032955"
"2003","15111490","02032959"
"2003","15111490","02032990"
"2003","15111500","02041000"
"2003","15111500","02042100"
"2003","15111500","02042210"
"2003","15111500","02042230"
"2003","15111500","02042250"
"2003","15111500","02042290"
"2003","15111500","02042300"
"2003","15111600","02043000"
"2003","15111600","02044100"
"2003","15111600","02044210"
"2003","15111600","02044230"
"2003","15111600","02044250"
"2003","15111600","02044290"
"2003","15111600","02044310"
"2003","15111600","02044390"
"2003","15111700","02045011"
"2003","15111700","02045013"
"2003","15111700","02045015"
"2003","15111700","02045019"
"2003","15111700","02045031"
"2003","15111700","02045039"
"2003","15111700","02045051"
"2003","15111700","02045053"
"2003","15111700","02045055"
"2003","15111700","02045059"
"2003","15111700","02045071"
"2003","15111700","02045079"
"2003","15111800","02050011"
"2003","15111800","02050019"
"2003","15111800","02050090"
"2003","15111900","02061010"
"2003","15111900","02061091"
"2003","15111900","02061095"
"2003","15111900","02061099"
"2003","15111900","02062100"
"2003","15111900","02062200"
"2003","15111900","02062910"
"2003","15111900","02062991"
"2003","15111900","02062999"
"2003","15111900","02063020"
"2003","15111900","02063030"
"2003","15111900","02063080"
"2003","15111900","02064120"
"2003","15111900","02064180"
"2003","15111900","02064920"
"2003","15111900","02064980"
"2003","15111900","02068010"
"2003","15111900","02068091"
"2003","15111900","02068099"
"2003","15111900","02069010"
"2003","15111900","02069091"
"2003","15111900","02069099"
