pc8	pc8plus	exit	year	synthetic
10101130	1.1994	1	1999	1
10101150	1.1994	1	1999	1
10101200	1.1994	1	1999	1
10201030	1.1994	1	1999	1
10201050	1.1994	1	1999	1
10301000	1.1994	1	1999	1
11101030	1.1994	1	1999	1
11101050	1.1994	1	1999	1
11102000	1.1994	1	1999	1
11104000	1.1994	1	1999	1
13101030	13101030		1993	0
13101030	13101030		1994	0
13101030	13101030		1995	0
13101030	13101030		1996	0
13101030	13101030		1997	0
13101030	13101030		1998	0
13101030	13101030		1999	0
13101050	13101050		1993	0
13101050	13101050		1994	0
13101050	13101050		1995	0
13101050	13101050		1996	0
13101050	13101050		1997	0
13101050	13101050		1998	0
13101050	13101050		1999	0
13201100	13201100		1993	0
13201100	13201100		1994	0
13201100	13201100		1995	0
13201100	13201100		1996	0
13201100	13201100		1997	0
13201100	13201100		1998	0
13201100	13201100		1999	0
13201200	13201200		1993	0
13201200	13201200		1994	0
13201200	13201200		1995	0
13201200	13201200		1996	0
13201200	13201200		1997	0
13201200	13201200		1998	0
13201200	13201200		1999	0
13201300	13201300		1993	0
13201300	13201300		1994	0
13201300	13201300		1995	0
13201300	13201300		1996	0
13201300	13201300		1997	0
13201300	13201300		1998	0
13201300	13201300		1999	0
13201400	13201400		1993	0
13201400	13201400		1994	0
13201400	13201400		1995	0
13201400	13201400		1996	0
13201400	13201400		1997	0
13201400	13201400		1998	0
13201400	13201400		1999	0
13201530	13201530		1993	0
13201530	13201530		1994	0
13201530	13201530		1995	0
13201530	13201530		1996	0
13201530	13201530		1997	0
13201530	13201530		1998	0
13201530	13201530		1999	0
13201550	13201550		1993	0
13201550	13201550		1994	0
13201550	13201550		1995	0
13201550	13201550		1996	0
13201550	13201550		1997	0
13201550	13201550		1998	0
13201550	13201550		1999	0
13201570	13201570		1993	0
13201570	13201570		1994	0
13201570	13201570		1995	0
13201570	13201570		1996	0
13201570	13201570		1997	0
13201570	13201570		1998	0
13201570	13201570		1999	0
13201630	13201630		1993	0
13201630	13201630		1994	0
13201630	13201630		1995	0
13201630	13201630		1996	0
13201630	13201630		1997	0
13201630	13201630		1998	0
13201630	13201630		1999	0
13201650	13201650		1993	0
13201650	13201650		1994	0
13201650	13201650		1995	0
13201650	13201650		1996	0
13201650	13201650		1997	0
13201650	13201650		1998	0
13201650	13201650		1999	0
13201690	13201690		1993	0
13201690	13201690		1994	0
13201690	13201690		1995	0
13201690	13201690		1996	0
13201690	13201690		1997	0
13201690	13201690		1998	0
13201690	13201690		1999	0
14111133	14111133		1993	0
14111133	14111133		1994	0
14111133	14111133		1995	0
14111133	14111133		1996	0
14111133	14111133		1997	0
14111133	14111133		1998	0
14111133	14111133		1999	0
14111135	14111135		1993	0
14111135	14111135		1994	0
14111135	14111135		1995	0
14111135	14111135		1996	0
14111135	14111135		1997	0
14111135	14111135		1998	0
14111135	14111135		1999	0
14111137	14111137		1993	0
14111137	14111137		1994	0
14111137	14111137		1995	0
14111137	14111137		1996	0
14111137	14111137		1997	0
14111137	14111137		1998	0
14111137	14111137		1999	0
14111150	14111150		1993	0
14111150	14111150		1994	0
14111150	14111150		1995	0
14111150	14111150		1996	0
14111150	14111150		1997	0
14111150	14111150		1998	0
14111150	14111150		1999	0
14111233	14111233		1993	0
14111233	14111233		1994	0
14111233	14111233		1995	0
14111233	14111233		1996	0
14111233	14111233		1997	0
14111233	14111233		1998	0
14111233	14111233		1999	0
14111235	14111235		1993	0
14111235	14111235		1994	0
14111235	14111235		1995	0
14111235	14111235		1996	0
14111235	14111235		1997	0
14111235	14111235		1998	0
14111235	14111235		1999	0
14111237	14111237		1993	0
14111237	14111237		1994	0
14111237	14111237		1995	0
14111237	14111237		1996	0
14111237	14111237		1997	0
14111237	14111237		1998	0
14111237	14111237		1999	0
14111253	14111253		1993	0
14111253	14111253		1994	0
14111253	14111253		1995	0
14111253	14111253		1996	0
14111253	14111253		1997	0
14111253	14111253		1998	0
14111253	14111253		1999	0
14111255	14111255		1993	0
14111255	14111255		1994	0
14111255	14111255		1995	0
14111255	14111255		1996	0
14111255	14111255		1997	0
14111255	14111255		1998	0
14111255	14111255		1999	0
14111257	14111257		1993	0
14111257	14111257		1994	0
14111257	14111257		1995	0
14111257	14111257		1996	0
14111257	14111257		1997	0
14111257	14111257		1998	0
14111257	14111257		1999	0
14111290	14111290		1993	0
14111290	14111290		1994	0
14111290	14111290		1995	0
14111290	14111290		1996	0
14111290	14111290		1997	0
14111290	14111290		1998	0
14111290	14111290		1999	0
14121030	14121030		1993	0
14121030	14121030		1994	0
14121030	14121030		1995	0
14121030	14121030		1996	0
14121030	14121030		1997	0
14121030	14121030		1998	0
14121030	14121030		1999	0
14121050	14121050		1993	0
14121050	14121050		1994	0
14121050	14121050		1995	0
14121050	14121050		1996	0
14121050	14121050		1997	0
14121050	14121050		1998	0
14121050	14121050		1999	0
14122010	14122010		1993	0
14122010	14122010		1994	0
14122010	14122010		1995	0
