from;to;pcfrom;ex;opt;pcfrom_recode;N;pcto;ex ;opt;pcto_recode;N;source;;
1993;1994;;;;;;15615090;;;;;;;
1993;1994;15911063;;B;15911060;;15911063;;;;;prodcom list structure 93 + 94;;
1993;1994;15911065;;B;15911060;;15911065;;;;;prodcom list structure 93 + 94;;
1993;1994;18232449;;;;;18232489;;;;;;;
1993;1994;20521303;;B;20521300;;20521330;;;;;prodcom list structure 93 + 94;;
1993;1994;20521301;;B;20521300;;20521350;;;;;prodcom list structure 93 + 94;;
1993;1994;20521300;;;;;20521370;;A;;;prodcom list structure 93 + 94;;
1993;1994;20521305;;B;20521300;;20521375;;B;20521370;;prodcom list structure 93 + 94;;
1993;1994;20521307;;B;20521300;;20521377;;B;20521370;;prodcom list structure 93 + 94;;
1993;1994;21121435;;B;21121430;;21121435;;;;;prodcom list structure 93 + 94;;
1993;1994;21121439;;B;21121430;;21121439;;;;;prodcom list structure 93 + 94;;
1993;1994;22141253;;B;22141250;;22141253;;;;;prodcom list structure 93 + 94;;
1993;1994;;;;;;22223243;;;;;;;
1993;1994;;;;;;22223245;;;;;;;
1993;1994;24141165;;B;24141160;;24141165;;;;;prodcom list structure 93 + 94;;
1993;1994;24141167;;B;24141160;;24141167;;;;;prodcom list structure 93 + 94;;
1993;1994;24201405;;B;24201400;;24201430;;;;;prodcom list structure 93 + 94;;
1993;1994;24201407;;B;24201400;;24201450;;;;;prodcom list structure 93 + 94;;
1993;1994;24201409;;B;24201400;;24201490;;;;;prodcom list structure 93 + 94;;
1993;1994;24413179;;;;;24413170;;;;;;;
1993;1994;24513250;;;;;24664570;;A;;;prodcom list structure 93 + 94;;
1993;1994;24513255;;B;24513250;;24664571;;B;24664570;;prodcom list structure 93 + 94;;
1993;1994;24664573;;;;;24664573;;B;24664570;;prodcom list structure 93 + 94;;
1993;1994;24664575;;;;;24664580;;;;;;;
1993;1994;24664577;;;;;24664590;;;;;;;
1993;1994;25242870;;;;;25242870;;A;;;prodcom list structure 93 + 94;;
1993;1994;36151293;;B;36151290;;25242873;;B;25242870;;prodcom list structure 93 + 94;;
1993;1994;25242870;;;;;25242879;;B;25242870;;prodcom list structure 93 + 94;;
1993;1994;27311057;;;;;27311060;;;;;;;
1993;1994;27311059;;;;;27311070;;;;;;;
1993;1994;27352053;;;;;27352050;;;;;;;
1993;1994;28625073;;B;28625070;;28625067;;;;;prodcom list structure 93 + 94;;
1993;1994;28625070;;;;;28625090;;A;;;prodcom list structure 93 + 94;;
1993;1994;28625075;;B;28265070;;28625093;;B;28625090;;prodcom list structure 93 + 94;;
1993;1994;28625080;;;;;28625095;;B;28625090;;prodcom list structure 93 + 94;;
1993;1994;28751111;;;;;28751110;;;;;;;
1993;1994;29122473;;;;;29122460;;;;;;;
1993;1994;29122457;;;;;29122471;;;;;;;
1993;1994;29122400;;;;;29122480;;;;;;;
1993;1994;29242500;;;;;29242510;;;;;;;
1993;1994;29242503;;;;;29242513;;;;;;;
1993;1994;29242505;;;;;29242515;;;;;;;
1993;1994;29243203;;B;29243200;;29243230;;;;;prodcom list structure 93 + 94;;
1993;1994;29243205;;B;29243200;;29243250;;;;;prodcom list structure 93 + 94;;
1993;1994;29321270;;A;;;29321270;;;;;;;
1993;1994;29321500;;;;;29321500;;A;;;prodcom list structure 93 + 94;;
1993;1994;29321273;;B;29321270;;29321503;;B;29321500;;prodcom list structure 93 + 94;;
1993;1994;29321270;;;;;29321505;;B;29321500;;prodcom list structure 93 + 94;;
1993;1994;29323473;;B;29323470;;29323473;;;;;prodcom list structure 93 + 94;;
1993;1994;29323475;;B;29323470;;29323475;;;;;prodcom list structure 93 + 94;;
1993;1994;29323485;;B;29323480;;29323477;;;;;prodcom list structure 93 + 94;;
1993;1994;29323480;;;;;29323490;;A;;;prodcom list structure 93 + 94;;
1993;1994;29323483;;B;29323480;;29323495;;B;29323490;;prodcom list structure 93 + 94;;
1993;1994;29323487;;B;29323480;;29323497;;B;29323490;;prodcom list structure 93 + 94;;
1993;1994;29326500;;;;;29326530;;A;;;;;
1993;1994;29326501;;B;29326500;;29326531;;B;29326530;;prodcom list structure 93 + 94;;
1993;1994;29326502;;B;29326500;;29326533;;B;29326530;;prodcom list structure 93 + 94;;
1993;1994;29326503;;B;29326500;;29326535;;B;29326530;;prodcom list structure 93 + 94;;
1993;1994;29326504;;B;29326500;;29326537;;B;29326530;;prodcom list structure 93 + 94;;
1993;1994;29326511;;B;29326500;;29326540;;;;;;;
1993;1994;29326500;;;;;29326550;;A;;;;;
1993;1994;29326512;;B;29326500;;29326551;;B;29326550;;prodcom list structure 93 + 94;;
1993;1994;29326513;;B;29326500;;29326553;;B;29326550;;prodcom list structure 93 + 94;;
1993;1994;29326514;;B;29326500;;29326555;;B;29326550;;prodcom list structure 93 + 94;;
1993;1994;29326515;;B;29326500;;29326557;;B;29326550;;prodcom list structure 93 + 94;;
1993;1994;29326519;;B;29326500;;29326559;;B;29326550;;prodcom list structure 93 + 94;;
1993;1994;29401153;;B;29401150;;29401153;;;;;prodcom list structure 93 + 94;;
1993;1994;29401155;;B;29401150;;29401155;;;;;prodcom list structure 93 + 94;;
1993;1994;29401235;;B;29401230;;29401220;;;;;prodcom list structure 93 + 94;;
1993;1994;29401230;;;;;29401240;;A;;;prodcom list structure 93 + 94;;
1993;1994;29401233;;B;29401230;;29401243;;B;29401240;;prodcom list structure 93 + 94;;
1993;1994;29401237;;B;29401230;;29401247;;B;29401240;;prodcom list structure 93 + 94;;
1993;1994;29404233;;B;29404230;;29404233;;;;;prodcom list structure 93 + 94;;
1993;1994;29404235;;B;29404230;;29404235;;;;;prodcom list structure 93 + 94;;
1993;1994;29404237;;B;29404230;;29404237;;;;;prodcom list structure 93 + 94;;
1993;1994;29406083;;B;29406080;;29406083;;;;;prodcom list structure 93 + 94;;
1993;1994;29406085;;B;29406080;;29406085;;;;;prodcom list structure 93 + 94;;
1993;1994;29541450;;;;;29541450;;A;;;prodcom list structure 93 + 94;;
1993;1994;29541453;;;;;29541453;;B;29541450;;prodcom list structure 93 + 94;;
1993;1994;29541455;;;;;29541455;;B;29541450;;prodcom list structure 93 + 94;;
1993;1994;29561353;;B;29561350;;29561353;;;;;prodcom list structure 93 + 94;;
