"Order","Level","Code","Parent","Code","Parent","Description","Self-explanatory texts","Supplementary unit"
"484917","1","010010000090",,"I",,"SECTION I - LIVE ANIMALS; ANIMAL PRODUCTS",,
"484918","2","010020000090","010010000090","01","I","CHAPTER 1 - LIVE ANIMALS","LIVE ANIMALS",
"484919","3","010100000080","010020000090","0101","01","Live horses, asses, mules and hinnies","Live horses, asses, mules and hinnies",
"484920","4","010110000080","010100000080","0101 10","0101","Pure-bred breeding animals","Pure-bred breeding horses and asses",
"484921","5","010110100080","010110000080","0101 10 10","0101 10","Horses","Pure-bred breeding horses","p/st"
"484922","5","010110900080","010110000080","0101 10 90","0101 10","Other","Pure-bred breeding asses","p/st"
"484923","4","010190000080","010100000080","0101 90","0101","Other","Live horses, asses, mules and hinnies (excl. pure-bred for breeding)",
"484924","5","010190110010","010190000080",,"0101 90","Horses",,
"484925","6","010190110080","010190110010","0101 90 11",,"For slaughter","Horses for slaughter","p/st"
"484926","6","010190190080","010190110010","0101 90 19",,"Other","Live horses (excl. those pure bred for breeding and for slaughter)","p/st"
"484927","5","010190300080","010190000080","0101 90 30","0101 90","Asses","Live asses","p/st"
"484928","5","010190900080","010190000080","0101 90 90","0101 90","Mules and hinnies","Live mules and hinnies","p/st"
"484929","3","010200000080","010020000090","0102","01","Live bovine animals","Live bovine animals",
"484930","4","010210000080","010200000080","0102 10","0102","Pure-bred breeding animals","Pure-bred breeding bovines",
"484931","5","010210100080","010210000080","0102 10 10","0102 10","Heifers (female bovines that have never calved)","Pure-bred breeding heifers ""female bovines that have never calved""","p/st"
"484932","5","010210300080","010210000080","0102 10 30","0102 10","Cows","Pure-bred breeding cows (excl. heifers)","p/st"
"484933","5","010210900080","010210000080","0102 10 90","0102 10","Other","Pure-bred breeding bovines (excl. heifers and cows)","p/st"
"484934","4","010290000080","010200000080","0102 90","0102","Other","Live bovine animals (excl. pure-bred for breeding)",
"484935","5","010290050010","010290000080",,"0102 90","Domestic species",,
"484936","6","010290050080","010290050010","0102 90 05",,"Of a weight not exceeding 80 kg","Live domestic bovines of a weight <= 80 kg (excl. pure-bred breeding animals)","p/st"
"484937","6","010290210010","010290050010",,,"Of a weight exceeding 80 kg but not exceeding 160 kg",,
