"Order","Level","Code","Parent","Code","Parent","Supplementary unit","Description","Self-explanatory texts","Description of supplementary unit","Unit","Explanatory notes","Unit","Illustration","Illustration"
"51670","1","010010000090",," I",,,"SECTION I - LIVE ANIMALS; ANIMAL PRODUCTS",,,,,,,
"51671","2","010020000090","010010000090","01"," I",,"CHAPTER 1 - LIVE ANIMALS","LIVE ANIMALS",,,,,,
"51672","3","010100000080","010020000090","0101","01",,"Live horses, asses, mules and hinnies","Live horses, asses, mules and hinnies",,,,,,
"51673","4","010110000080","010100000080","0101 10","0101",,"- Pure-bred breeding animals","Pure-bred breeding horses and asses",,,,,,
"51674","5","010110100080","010110000080","0101 10 10","0101 10","p/st","- - Horses","Pure-bred breeding horses","Number of items",,,,,
"51675","5","010110900080","010110000080","0101 10 90","0101 10","p/st","- - Other","Pure-bred breeding asses","Number of items",,,,,
"51676","4","010190000080","010100000080","0101 90","0101",,"- Other","Live horses, asses, mules and hinnies (excl. pure-bred for breeding)",,,,,,
"51677","5","010190110010","010190000080",,"0101 90",,"- - Horses",,,,,,,
"51678","6","010190110080","010190110010","0101 90 11",,"p/st","- - - For slaughter","Horses for slaughter","Number of items",,,,,
"51679","6","010190190080","010190110010","0101 90 19",,"p/st","- - - Other","Live horses (excl. those pure bred for breeding and for slaughter)","Number of items",,,,,
"51680","5","010190300080","010190000080","0101 90 30","0101 90","p/st","- - Asses","Live asses","Number of items",,,,,
"51681","5","010190900080","010190000080","0101 90 90","0101 90","p/st","- - Mules and hinnies","Live mules and hinnies","Number of items",,,,,
"51682","3","010200000080","010020000090","0102","01",,"Live bovine animals","Live bovine animals",,,,,,
"51683","4","010210000080","010200000080","0102 10","0102",,"- Pure-bred breeding animals","Pure-bred breeding bovines",,,,,,
"51684","5","010210100080","010210000080","0102 10 10","0102 10","p/st","- - Heifers (female bovines that have never calved)","Pure-bred breeding heifers ""female bovines that have never calved""","Number of items",,,,,
"51685","5","010210300080","010210000080","0102 10 30","0102 10","p/st","- - Cows","Pure-bred breeding cows (excl. heifers)","Number of items",,,,,
"51686","5","010210900080","010210000080","0102 10 90","0102 10","p/st","- - Other","Pure-bred breeding bovines (excl. heifers and cows)","Number of items",,,,,
"51687","4","010290000080","010200000080","0102 90","0102",,"- Other","Live bovine animals (excl. pure-bred for breeding)",,,,,,
"51688","5","010290050010","010290000080",,"0102 90",,"- - Domestic species",,,,,,,
"51689","6","010290050080","010290050010","0102 90 05",,"p/st","- - - Of a weight not exceeding 80 kg","Live domestic bovines of a weight <= 80 kg (excl. pure-bred breeding animals)","Number of items",,,,,
"51690","6","010290210010","010290050010",,,,"- - - Of a weight exceeding 80 kg but not exceeding 160 kg",,,,,,,
"51691","7","010290210080","010290210010","0102 90 21",,"p/st","- - - - For slaughter","Domestic bovines of a weight of between > 80 kg and <= 160 kg, for slaughter","Number of items",,,,,
"51692","7","010290290080","010290210010","0102 90 29",,"p/st","- - - - Other","Live domestic bovines of a weight of > 80 kg and <= 160 kg (excl. animals for slaughter and pure-bred breeding animals)","Number of items",,,,,
"51693","6","010290410010","010290050010",,,,"- - - Of a weight exceeding 160 kg but not exceeding 300 kg",,,,,,,
"51694","7","010290410080","010290410010","0102 90 41",,"p/st","- - - - For slaughter","Domestic bovines of a weight of > 160 kg and <= 300 kg, for slaughter","Number of items",,,,,
"51695","7","010290490080","010290410010","0102 90 49",,"p/st","- - - - Other","Live domestic bovines of a weight of > 160 kg and <= 300 kg (excl. animals for slaughter and pure-bred breeding animals)","Number of items",,,,,
"51696","6","010290510010","010290050010",,,,"- - - Of a weight exceeding 300 kg",,,,,,,
"51697","7","010290510020","010290510010",,,,"- - - - Heifers (female bovines that have never calved)",,,,,,,
"51698","8","010290510080","010290510020","0102 90 51",,"p/st","- - - - - For slaughter","Heifers ""female domestic bovines that have never calved"" of a weight of > 300 kg, for slaughter","Number of items",,,,,
"51699","8","010290590080","010290510020","0102 90 59",,"p/st","- - - - - Other","Live heifers ""female domestic bovines that have never calved"" of a weight of > 300 kg (excl. animals for slaughter and pure-bred breeding animals)","Number of items",,,,,
"51700","7","010290610010","010290510010",,,,"- - - - Cows",,,,,,,
"51701","8","010290610080","010290610010","0102 90 61",,"p/st","- - - - - For slaughter","Cows ""female domestic bovines"" of a weight of > 300 kg, for slaughter (excl. heifers)","Number of items",,,,,
"51702","8","010290690080","010290610010","0102 90 69",,"p/st","- - - - - Other","Live cows ""female domestic bovines"" of a weight of > 300 kg (excl. animals for slaughter, heifers and pure-bred breeding animals)","Number of items",,,,,
"51703","7","010290710010","010290510010",,,,"- - - - Other",,,,,,,
"51704","8","010290710080","010290710010","0102 90 71",,"p/st","- - - - - For slaughter","Live domestic bovines of a weight of > 300 kg, for slaughter (excl. heifers and cows)","Number of items",,,,,
"51705","8","010290790080","010290710010","0102 90 79",,"p/st","- - - - - Other","Live domestic bovines of a weight of > 300 kg (excl. animals for slaughter, heifers, cows and pure-bred breeding animals)","Number of items",,,,,
"51706","5","010290900080","010290000080","0102 90 90","0102 90","p/st","- - Other","Live non-domestic bovines (excl. pure-bred for breeding)","Number of items",,,,,
"51707","3","010300000080","010020000090","0103","01",,"Live swine","Live swine",,,,,,
"51708","4","010310000080","010300000080","0103 10 00","0103","p/st","- Pure-bred breeding animals","Pure-bred breeding swine","Number of items",,,,,
"51709","4","010391000010","010300000080",,"0103",,"- Other",,,,,,,
"51710","5","010391000080","010391000010","0103 91",,,"- - Weighing less than 50 kg","Live pure-bred swine, weighing < 50 kg (excl. pure-bred for breeding)",,,,,,
"51711","6","010391100080","010391000080","0103 91 10","0103 91","p/st","- - - Domestic species","Domestic swine, weighing < 50 kg (excl. pure-bred for breeding)","Number of items",,,,,
"51712","6","010391900080","010391000080","0103 91 90","0103 91","p/st","- - - Other","Live non-domestic swine, weighing < 50 kg","Number of items",,,,,
"51713","5","010392000080","010391000010","0103 92",,,"- - Weighing 50 kg or more","Live pure-bred swine, weighing >= 50 kg (excl. pure-bred for breeding)",,,,,,
"51714","6","010392110010","010392000080",,"0103 92",,"- - - Domestic species",,,,,,,
"51715","7","010392110080","010392110010","0103 92 11",,"p/st","- - - - Sows having farrowed at least once, of a weight of not less than 160 kg","Live domestic sows, having farrowed at least once, weighing >= 160 kg (excl. pure-bred for breeding)","Number of items",,,,,
"51716","7","010392190080","010392110010","0103 92 19",,"p/st","- - - - Other","Live domestic swine, weighing >= 50 kg (excl. sows having farrowed at least once and weighing >= 160 kg, and those pure-bred for breeding)","Number of items",,,,,
"51717","6","010392900080","010392000080","0103 92 90","0103 92","p/st","- - - Other","Live non-domestic swine, weighing >= 50 kg","Number of items",,,,,
"51718","3","010400000080","010020000090","0104","01",,"Live sheep and goats","Live sheep and goats",,,,,,
"51719","4","010410000080","010400000080","0104 10","0104",,"- Sheep","Live sheep",,,,,,
"51720","5","010410100080","010410000080","0104 10 10","0104 10","p/st","- - Pure-bred breeding animals","Pure-bred sheep for breeding","Number of items",,,,,
"51721","5","010410300010","010410000080",,"0104 10",,"- - Other",,,,,,,
