"Order","Level","Code","Parent","Code","Parent","Description","Self-explanatory texts","Supplementary unit","Description of supplementary unit"
"314717","1","010011000090",,"I",," SECTION I - LIVE ANIMALS; ANIMAL PRODUCTS","LIVE ANIMALS; ANIMAL PRODUCTS",,
"314718","2","010021000090","010011000090","01","I"," CHAPTER 1 - LIVE ANIMALS","LIVE ANIMALS",,
"314719","3","010100000080","010021000090","0101","01"," Live horses, asses, mules and hinnies","Live horses, asses, mules and hinnies",,
"314720","4","010110000080","010100000080","0101 10","0101","- Pure-bred breeding animals","Pure-bred breeding horses and asses",,
"314721","5","010110100080","010110000080","0101 10 10","0101 10","-- Horses","Pure-bred breeding horses","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"314722","5","010110900080","010110000080","0101 10 90","0101 10","-- Other","Pure-bred breeding asses","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"314723","4","010190000080","010100000080","0101 90","0101","- Other","Live horses, asses, mules and hinnies (excl. pure-bred for breeding)",,
"314724","5","010190110010","010190000080",,"0101 90","-- Horses",,,
"314725","6","010190110080","010190110010","0101 90 11",,"--- For slaughter","Horses for slaughter","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"314726","6","010190190080","010190110010","0101 90 19",,"--- Other","Live horses (excl. those pure bred for breeding and for slaughter)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"314727","5","010190300080","010190000080","0101 90 30","0101 90","-- Asses","Live asses (excl. pure-bred for breeding)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"314728","5","010190900080","010190000080","0101 90 90","0101 90","-- Mules and hinnies","Live mules and hinnies","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"314729","3","010200000080","010021000090","0102","01"," Live bovine animals","Live bovine animals",,
"314730","4","010210000080","010200000080","0102 10","0102","- Pure-bred breeding animals","Pure-bred breeding bovines",,
"314731","5","010210100080","010210000080","0102 10 10","0102 10","-- Heifers (female bovines that have never calved)","Pure-bred breeding heifers ""female bovines that have never calved""","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"314732","5","010210300080","010210000080","0102 10 30","0102 10","-- Cows","Pure-bred breeding cows (excl. heifers)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"314733","5","010210900080","010210000080","0102 10 90","0102 10","-- Other","Pure-bred breeding bovines (excl. heifers and cows)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"314734","4","010290000080","010200000080","0102 90","0102","- Other","Live bovine animals (excl. pure-bred for breeding)",,
"314735","5","010290050010","010290000080",,"0102 90","-- Domestic species",,,
"314736","6","010290050080","010290050010","0102 90 05",,"--- Of a weight not exceeding 80 kg","Live domestic bovines of a weight <= 80 kg (excl. pure-bred breeding animals)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"314737","6","010290210010","010290050010",,,"--- Of a weight exceeding 80 kg but not exceeding 160 kg",,,
