"CN 2008 - PRODCOM 2008",,
"Source","Target"
"0201 10 00","10.11.11.40"
"0201 20 20","10.11.11.40"
"0201 20 30","10.11.11.40"
"0201 20 50","10.11.11.40"
"0201 20 90","10.11.11.90"
"0201 30 00","10.11.11.90"
"0202 10 00","10.11.31.00"
"0202 20 10","10.11.31.00"
"0202 20 30","10.11.31.00"
"0202 20 50","10.11.31.00"
"0202 20 90","10.11.31.00"
"0202 30 10","10.11.31.00"
"0202 30 50","10.11.31.00"
"0202 30 90","10.11.31.00"
"0203 11 10","10.11.12.30"
"0203 11 90","10.11.12.30"
"0203 12 11","10.11.12.50"
"0203 12 19","10.11.12.50"
"0203 12 90","10.11.12.50"
"0203 19 11","10.11.12.90"
"0203 19 13","10.11.12.90"
"0203 19 15","10.11.12.90"
"0203 19 55","10.11.12.90"
"0203 19 59","10.11.12.90"
"0203 19 90","10.11.12.90"
"0203 21 10","10.11.32.30"
"0203 21 90","10.11.32.30"
"0203 22 11","10.11.32.50"
"0203 22 19","10.11.32.50"
"0203 22 90","10.11.32.50"
"0203 29 11","10.11.32.90"
"0203 29 13","10.11.32.90"
"0203 29 15","10.11.32.90"
"0203 29 55","10.11.32.90"
"0203 29 59","10.11.32.90"
"0203 29 90","10.11.32.90"
"0204 10 00","10.11.13.00"
"0204 21 00","10.11.13.00"
"0204 22 10","10.11.13.00"
"0204 22 30","10.11.13.00"
"0204 22 50","10.11.13.00"
"0204 22 90","10.11.13.00"
"0204 23 00","10.11.13.00"
"0204 30 00","10.11.33.00"
"0204 41 00","10.11.33.00"
"0204 42 10","10.11.33.00"
"0204 42 30","10.11.33.00"
"0204 42 50","10.11.33.00"
"0204 42 90","10.11.33.00"
"0204 43 10","10.11.33.00"
"0204 43 90","10.11.33.00"
"0204 50 11","10.11.14.00"
"0204 50 13","10.11.14.00"
"0204 50 15","10.11.14.00"
"0204 50 19","10.11.14.00"
"0204 50 31","10.11.14.00"
"0204 50 39","10.11.14.00"
"0204 50 51","10.11.34.00"
"0204 50 53","10.11.34.00"
"0204 50 55","10.11.34.00"
"0204 50 59","10.11.34.00"
"0204 50 71","10.11.34.00"
"0204 50 79","10.11.34.00"
"0205 00 20","10.11.15.00"
"0205 00 80","10.11.35.00"
"0206 10 10","10.11.20.00"
"0206 10 95","10.11.20.00"
"0206 10 98","10.11.20.00"
"0206 21 00","10.11.39.10"
"0206 22 00","10.11.39.10"
"0206 29 10","10.11.39.10"
"0206 29 91","10.11.39.10"
"0206 29 99","10.11.39.10"
"0206 30 00","10.11.20.00"
"0206 41 00","10.11.39.10"
"0206 49 00","10.11.39.10"
"0206 80 10","10.11.20.00"
"0206 80 91","10.11.20.00"
"0206 80 99","10.11.20.00"
"0206 90 10","10.11.39.10"
"0206 90 91","10.11.39.10"
"0206 90 99","10.11.39.10"
"0207 11 10","10.12.10.10"
"0207 11 30","10.12.10.10"
"0207 11 90","10.12.10.10"
"0207 12 10","10.12.20.13"
"0207 12 90","10.12.20.13"
"0207 13 10","10.12.10.50"
"0207 13 20","10.12.10.50"
"0207 13 30","10.12.10.50"
"0207 13 40","10.12.10.50"
"0207 13 50","10.12.10.50"
"0207 13 60","10.12.10.50"
"0207 13 70","10.12.10.50"
"0207 13 91","10.12.40.20"
"0207 13 99","10.12.40.20"
"0207 14 10","10.12.20.53"
"0207 14 20","10.12.20.53"
"0207 14 30","10.12.20.53"
"0207 14 40","10.12.20.53"
"0207 14 50","10.12.20.53"
"0207 14 60","10.12.20.53"
"0207 14 70","10.12.20.53"
"0207 14 91","10.12.20.80"
"0207 14 99","10.12.40.50"
"0207 24 10","10.12.10.20"
"0207 24 90","10.12.10.20"
"0207 25 10","10.12.20.15"
"0207 25 90","10.12.20.15"
"0207 26 10","10.12.10.60"
"0207 26 20","10.12.10.60"
"0207 26 30","10.12.10.60"
"0207 26 40","10.12.10.60"
"0207 26 50","10.12.10.60"
"0207 26 60","10.12.10.60"
"0207 26 70","10.12.10.60"
"0207 26 80","10.12.10.60"
"0207 26 91","10.12.40.20"
"0207 26 99","10.12.40.20"
"0207 27 10","10.12.20.55"
"0207 27 20","10.12.20.55"
"0207 27 30","10.12.20.55"
"0207 27 40","10.12.20.55"
"0207 27 50","10.12.20.55"
"0207 27 60","10.12.20.55"
"0207 27 70","10.12.20.55"
"0207 27 80","10.12.20.55"
"0207 27 91","10.12.20.80"
"0207 27 99","10.12.40.50"
"0207 32 11","10.12.10.30"
"0207 32 15","10.12.10.30"
"0207 32 19","10.12.10.30"
"0207 32 51","10.12.10.30"
"0207 32 59","10.12.10.30"
"0207 32 90","10.12.10.30"
"0207 33 11","10.12.20.17"
"0207 33 19","10.12.20.17"
"0207 33 51","10.12.20.17"
"0207 33 59","10.12.20.17"
"0207 33 90","10.12.20.17"
"0207 34 10","10.12.10.40"
"0207 34 90","10.12.10.40"
"0207 35 11","10.12.10.70"
"0207 35 15","10.12.10.70"
"0207 35 21","10.12.10.70"
"0207 35 23","10.12.10.70"
"0207 35 25","10.12.10.70"
"0207 35 31","10.12.10.70"
"0207 35 41","10.12.10.70"
"0207 35 51","10.12.10.70"
"0207 35 53","10.12.10.70"
"0207 35 61","10.12.10.70"
"0207 35 63","10.12.10.70"
"0207 35 71","10.12.10.70"
"0207 35 79","10.12.10.70"
"0207 35 91","10.12.40.20"
"0207 35 99","10.12.40.20"
"0207 36 11","10.12.20.57"
"0207 36 15","10.12.20.57"
"0207 36 21","10.12.20.57"
"0207 36 23","10.12.20.57"
"0207 36 25","10.12.20.57"
"0207 36 31","10.12.20.57"
"0207 36 41","10.12.20.57"
"0207 36 51","10.12.20.57"
"0207 36 53","10.12.20.57"
"0207 36 61","10.12.20.57"
"0207 36 63","10.12.20.57"
"0207 36 71","10.12.20.57"
"0207 36 79","10.12.20.57"
"0207 36 81","10.12.20.80"
"0207 36 85","10.12.20.80"
"0207 36 89","10.12.20.80"
"0207 36 90","10.12.40.50"
"0208 10 10","10.11.39.30"
"0208 10 90","10.11.39.30"
"0208 30 00","10.11.39.30"
"0208 40 10","10.11.39.30"
"0208 40 90","10.11.39.30"
"0208 50 00","10.11.39.30"
"0208 90 10","10.11.39.30"
"0208 90 30","10.11.39.30"
"0208 90 55","10.11.39.30"
"0208 90 60","10.11.39.30"
"0208 90 70","10.11.39.30"
"0208 90 95","10.11.39.30"
"0209 00 11","10.11.50.40"
"0209 00 19","10.11.50.40"
"0209 00 30","10.11.50.40"
"0209 00 90","10.12.30.00"
"0210 11 11","10.13.11.20"
"0210 11 19","10.13.11.20"
"0210 11 31","10.13.11.20"
"0210 11 39","10.13.11.20"
"0210 11 90","10.13.11.20"
"0210 12 11","10.13.11.50"
"0210 12 19","10.13.11.50"
"0210 12 90","10.13.11.50"
"0210 19 10","10.13.11.80"
"0210 19 20","10.13.11.80"
"0210 19 30","10.13.11.80"
"0210 19 40","10.13.11.80"
"0210 19 50","10.13.11.80"
"0210 19 60","10.13.11.80"
"0210 19 70","10.13.11.80"
"0210 19 81","10.13.11.80"
"0210 19 89","10.13.11.80"
"0210 19 90","10.13.11.80"
"0210 20 10","10.13.12.00"
"0210 20 90","10.13.12.00"
"0210 91 00","10.13.13.00"
"0210 92 00","10.13.13.00"
"0210 93 00","10.13.13.00"
"0210 99 10","10.13.13.00"
"0210 99 21","10.13.13.00"
"0210 99 29","10.13.13.00"
"0210 99 31","10.13.13.00"
"0210 99 39","10.13.13.00"
"0210 99 41","10.13.13.00"
