year	pc8	optional
2001	14111150	14111153
2001	14111150	14111155
2001	14111150	14111157
2001	14121050	14121053
2001	14121050	14121055
2001	14122030	14122033
2001	14122030	14122035
2001	14122030	14122037
2001	14122050	14122053
2001	14122050	14122055
2001	14211210	14211213
2001	14211210	14211215
2001	14211230	14211233
2001	14211230	14211239
2001	14211290	14211293
2001	14211290	14211295
2001	14221230	14221233
2001	14221230	14221235
2001	14401000	14401001
2001	14401000	14401003
2001	14401000	14401005
2001	14401000	14401007
2001	14401000	14401009
2001	15131260	15131263
2001	15131260	15131269
2001	15201430	15201433
2001	15201430	15201435
2001	15201600	15201603
2001	15201600	15201605
2001	15331430	15331433
2001	15331430	15331439
2001	15331490	15331493
2001	15331490	15331499
2001	15431030	15431033
2001	15431030	15431035
2001	15431030	15431037
2001	15511140	15511143
2001	15511140	15511145
2001	15511140	15511147
2001	15511160	15511163
2001	15511160	15511165
2001	15511160	15511167
2001	15511200	15511205
2001	15511200	15511207
2001	15515540	15515543
2001	15515540	15515547
2001	15711030	15711033
2001	15711030	15711035
2001	15711030	15711037
2001	15711030	15711039
2001	15721030	15721033
2001	15721030	15721035
2001	15871270	15871273
2001	15871270	15871279
2001	15881070	15881073
2001	15881070	15881075
2001	15881070	15881079
2001	15921200	15921203
2001	15921200	15921205
2001	15981250	15981255
2001	15981250	15981259
2001	18101000	18101001
2001	18101000	18101003
2001	18101000	18101005
2001	18101000	18101007
2001	18101000	18101009
2001	18241100	18241101
2001	18241100	18241102
2001	18241100	18241103
2001	18241100	18241104
2001	18241100	18241105
2001	18241100	18241109
2001	19102020	19102021
2001	19102020	19102022
2001	19102020	19102029
2001	19102050	19102051
2001	19102050	19102052
2001	19102050	19102053
2001	19102050	19102059
2001	19102070	19102071
2001	19102070	19102072
2001	19102070	19102073
2001	19102070	19102079
2001	19103150	19103151
2001	19103150	19103152
2001	19103150	19103159
2001	19103250	19103251
2001	19103250	19103252
2001	19103250	19103259
2001	19103350	19103351
2001	19103350	19103352
2001	19103350	19103359
2001	19104150	19104151
2001	19104150	19104152
2001	19104150	19104159
2001	20301150	20301153
2001	20301150	20301155
2001	20301150	20301159
2001	20301300	20301301
2001	20301300	20301303
2001	20301300	20301305
2001	20301300	20301307
2001	20301300	20301309
2001	20511450	20511455
2001	20511450	20511459
2001	20521370	20521375
2001	20521370	20521377
2001	20521400	20521403
2001	20521400	20521405
2001	20521400	20521407
2001	20521400	20521409
2001	21111430	21111433
2001	21111430	21111435
2001	21111430	21111439
2001	21123050	21123053
2001	21123050	21123059
2001	21125350	21125353
2001	21125350	21125355
2001	21211400	21211401
2001	21211400	21211403
2001	21211400	21211405
2001	21211400	21211407
2001	21211400	21211409
2001	21211530	21211533
2001	21211530	21211535
2001	21211530	21211539
2001	21221230	21221233
2001	21221230	21221235
2001	22112060	22112063
2001	22112060	22112065
2001	22112060	22112067
2001	22112060	22112069
2001	22131000	22131005
2001	22131000	22131009
2001	22141130	22141133
2001	22141130	22141135
2001	22141150	22141153
2001	22141150	22141155
2001	22221300	22221303
2001	22221300	22221305
2001	22221300	22221307
2001	22221300	22221309
2001	22223220	22223225
2001	22223220	22223229
2001	22242000	22242001
2001	22242000	22242003
2001	22242000	22242005
2001	22242000	22242007
2001	24111120	24111125
2001	24111120	24111127
2001	24111230	24111235
2001	24111230	24111237
2001	24143280	24143285
2001	24143280	24143287
2001	24163040	24163043
2001	24163040	24163045
2001	24163060	24163063
2001	24163060	24163065
2001	24164020	24164023
2001	24164020	24164025
2001	24164040	24164043
2001	24164040	24164045
2001	24164080	24164083
2001	24164080	24164085
2001	24164090	24164093
2001	24164090	24164095
2001	24165130	24165135
2001	24165130	24165137
2001	24165350	24165355
2001	24165350	24165357
2001	24165390	24165395
2001	24165390	24165397
2001	24165490	24165495
2001	24165490	24165497
2001	24165550	24165555
2001	24165550	24165557
2001	24165570	24165575
2001	24165570	24165577
2001	24165630	24165635
2001	24165630	24165637
2001	24165650	24165655
2001	24165650	24165657
2001	24301170	24301172
2001	24301170	24301173
2001	24301170	24301175
2001	24301170	24301177
2001	24301250	24301255
2001	24301250	24301257
2001	24302450	24302453
2001	24302450	24302455
2001	24302450	24302459
2001	24302470	24302473
2001	24302470	24302475
2001	24302470	24302479
2001	24513150	24513153
2001	24513150	24513155
2001	24513150	24513159
2001	24513250	24513252
2001	24513250	24513253
2001	24513250	24513257
2001	24513250	24513259
2001	24513270	24513272
2001	24513270	24513273
2001	24513270	24513274
2001	24513270	24513275
2001	24513270	24513277
2001	24513270	24513279
2001	24514330	24514335
2001	24514330	24514337
2001	24514350	24514355
2001	24514350	24514357
2001	24514370	24514375
2001	24514370	24514377
2001	24514370	24514379
2001	24521300	24521303
2001	24521300	24521305
2001	24521500	24521501
2001	24521500	24521502
2001	24521500	24521503
2001	24521500	24521505
2001	24521500	24521507
2001	24521500	24521509
2001	24521630	24521635
2001	24521630	24521639
2001	24521700	24521702
2001	24521700	24521703
2001	24521700	24521705
2001	24521700	24521707
2001	24521700	24521709
2001	24521930	24521935
2001	24521930	24521937
2001	24521990	24521993
2001	24521990	24521995
2001	24521990	24521997
2001	24521990	24521999
2001	24611270	24611275
2001	24611270	24611277
2001	24621030	24621033
2001	24621030	24621035
2001	24621030	24621037
2001	24663350	24663355
2001	24663350	24663357
2001	24664230	24664235
2001	24664230	24664239
2001	24664570	24664571
2001	24664570	24664573
2001	24701400	24701405
2001	24701400	24701407
