year	pc8	optional
2001	17103030	17103030N1
2001	17103030	17103030N2
2001	17104332	17104332N1
2001	17104332	17104332N2
2001	17104333	17104333N1
2001	17104333	17104333N2
2001	17104335	17104335N1
2001	17104335	17104335N2
2001	17105130	17105130N1
2001	17105130	17105130N2
2001	17105150	17105150N1
2001	17105150	17105150N2
2001	17105232	17105232N1
2001	17105232	17105232N2
2001	17105232	17105232N3
2001	17105233	17105233N1
2001	17105233	17105233N2
2001	17105233	17105233N3
2001	17105235	17105235N1
2001	17105235	17105235N2
2001	17105235	17105235N3
2001	17105252	17105252N1
2001	17105252	17105252N2
2001	17105252	17105252N3
2001	17105253	17105253N1
2001	17105253	17105253N2
2001	17105253	17105253N3
2001	17105255	17105255N1
2001	17105255	17105255N2
2001	17105255	17105255N3
2001	17105272	17105272N1
2001	17105272	17105272N2
2001	17105272	17105272N3
2001	17105273	17105273N1
2001	17105273	17105273N2
2001	17105273	17105273N3
2001	17105275	17105275N1
2001	17105275	17105275N2
2001	17105275	17105275N3
2001	17105292	17105292N1
2001	17105292	17105292N2
2001	17105292	17105292N3
2001	17105293	17105293N1
2001	17105293	17105293N2
2001	17105293	17105293N3
2001	17105295	17105295N1
2001	17105295	17105295N2
2001	17105295	17105295N3
2001	17105332	17105332N1
2001	17105332	17105332N2
2001	17105333	17105333N1
2001	17105333	17105333N2
2001	17105335	17105335N1
2001	17105335	17105335N2
2001	17105352	17105352N1
2001	17105352	17105352N2
2001	17105353	17105353N1
2001	17105353	17105353N2
2001	17105355	17105355N1
2001	17105355	17105355N2
2001	17105402	17105402N1
2001	17105402	17105402N2
2001	17105402	17105402N3
2001	17105403	17105403N1
2001	17105403	17105403N2
2001	17105403	17105403N3
2001	17105405	17105405N1
2001	17105405	17105405N2
2001	17105405	17105405N3
2001	17203212	17203212N1
2001	17203212	17203212N2
2001	17203212	17203212N3
2001	17203213	17203213N1
2001	17203213	17203213N2
2001	17203213	17203213N3
2001	17203214	17203214N1
2001	17203214	17203214N2
2001	17203214	17203214N3
2001	17203215	17203215N1
2001	17203215	17203215N2
2001	17203215	17203215N3
2001	17203219	17203219N1
2001	17203219	17203219N2
2001	17203219	17203219N3
2001	17203292	17203292N1
2001	17203292	17203292N2
2001	17203292	17203292N3
2001	17203295	17203295N1
2001	17203295	17203295N2
2001	17203295	17203295N3
2001	17203299	17203299N1
2001	17203299	17203299N2
2001	17203299	17203299N3
2001	17203332	17203332N1
2001	17203332	17203332N2
2001	17203332	17203332N3
2001	17203334	17203334N1
2001	17203334	17203334N2
2001	17203334	17203334N3
2001	17203339	17203339N1
2001	17203339	17203339N2
2001	17203339	17203339N3
2001	17401130	17401130N1
2001	17401130	17401130N2
2001	17401150	17401150N1
2001	17401150	17401150N2
2001	17401190	17401190N1
2001	17401190	17401190N2
2001	17401230	17401230N1
2001	17401230	17401230N2
2001	17401253	17401253N1
2001	17401253	17401253N2
2001	17401255	17401255N1
2001	17401255	17401255N2
2001	17401259	17401259N1
2001	17401259	17401259N2
2001	17401330	17401330N1
2001	17401330	17401330N2
2001	17401353	17401353N1
2001	17401353	17401353N2
2001	17401355	17401355N1
2001	17401355	17401355N2
2001	17401359	17401359N1
2001	17401359	17401359N2
2001	17401430	17401430N1
2001	17401430	17401430N2
2001	17401450	17401450N1
2001	17401450	17401450N2
2001	17401653	17401653N1
2001	17401653	17401653N2
2001	18221110	18221110N1
2001	18221110	18221110N2
2001	18221120	18221120N1
2001	18221120	18221120N2
2001	18221230	18221230N1
2001	18221230	18221230N2
2001	18221260	18221260N1
2001	18221260	18221260N2
2001	18221270	18221270N1
2001	18221270	18221270N2
2001	18221310	18221310N1
2001	18221310	18221310N2
2001	18221320	18221320N1
2001	18221320	18221320N2
2001	18221430	18221430N1
2001	18221430	18221430N2
2001	18221460	18221460N1
2001	18221460	18221460N2
2001	18221470	18221470N1
2001	18221470	18221470N2
2001	18221480	18221480N1
2001	18221480	18221480N2
2001	18221490	18221490N1
2001	18221490	18221490N2
2001	18231110	18231110N1
2001	18231110	18231110N2
2001	18231220	18231220N1
2001	18231220	18231220N2
2001	18231230	18231230N1
2001	18231230	18231230N2
2001	18231240	18231240N1
2001	18231240	18231240N2
2001	18231310	18231310N1
2001	18231310	18231310N2
2001	18231420	18231420N1
2001	18231420	18231420N2
2001	18231430	18231430N1
2001	18231430	18231430N2
2001	18231440	18231440N1
2001	18231440	18231440N2
2001	18231450	18231450N1
2001	18231450	18231450N2
2001	18233030	18233030N1
2001	18233030	18233030N2
2001	18233090	18233090N1
2001	18233090	18233090N2
2001	18241100	18241100N1
2001	18241100	18241100N2
2001	18241210	18241210N1
2001	18241210	18241210N2
2001	18241230	18241230N1
2001	18241230	18241230N2
2001	18241240	18241240N1
2001	18241240	18241240N2
2001	18241250	18241250N1
2001	18241250	18241250N2
2001	18241290	18241290N1
2001	18241290	18241290N2
2001	18241373	18241373N1
2001	18241373	18241373N2
2001	18241375	18241375N1
2001	18241375	18241375N2
2001	18241430	18241430N1
2001	18241430	18241430N2
2001	18241450	18241450N1
2001	18241450	18241450N2
2001	18241490	18241490N1
2001	18241490	18241490N2
2001	24701240	24701240N1
2001	24701240	24701240N2
2001	24701313	24701313N1
2001	24701313	24701313N2
2001	24701315	24701315N1
2001	24701315	24701315N2
2001	24701323	24701323N1
2001	24701323	24701323N2
2001	24701325	24701325N1
2001	24701325	24701325N2
2001	24701330	24701330N1
2001	24701330	24701330N2
2001	24701350	24701350N1
2001	24701350	24701350N2
2001	24701370	24701370N1
2001	24701370	24701370N2
2001	24701390	24701390N1
2001	24701390	24701390N2
2002	17103030	17103030N1
2002	17103030	17103030N2
2002	17104332	17104332N1
2002	17104332	17104332N2
2002	17104333	17104333N1
2002	17104333	17104333N2
2002	17104335	17104335N1
2002	17104335	17104335N2
2002	17105130	17105130N1
2002	17105130	17105130N2
2002	17105150	17105150N1
2002	17105150	17105150N2
2002	17105232	17105232N1
2002	17105232	17105232N2
2002	17105232	17105232N3
2002	17105233	17105233N1
2002	17105233	17105233N2
2002	17105233	17105233N3
2002	17105235	17105235N1
2002	17105235	17105235N2
2002	17105235	17105235N3
2002	17105252	17105252N1
2002	17105252	17105252N2
2002	17105252	17105252N3
2002	17105253	17105253N1
2002	17105253	17105253N2
2002	17105253	17105253N3
2002	17105255	17105255N1
2002	17105255	17105255N2
2002	17105255	17105255N3
2002	17105272	17105272N1
2002	17105272	17105272N2
2002	17105272	17105272N3
2002	17105273	17105273N1
2002	17105273	17105273N2
2002	17105273	17105273N3
2002	17105275	17105275N1
2002	17105275	17105275N2
2002	17105275	17105275N3
2002	17105292	17105292N1
2002	17105292	17105292N2
2002	17105292	17105292N3
2002	17105293	17105293N1
2002	17105293	17105293N2
2002	17105293	17105293N3
2002	17105295	17105295N1
2002	17105295	17105295N2
2002	17105295	17105295N3
2002	17105332	17105332N1
2002	17105332	17105332N2
2002	17105333	17105333N1
2002	17105333	17105333N2
2002	17105335	17105335N1
2002	17105335	17105335N2
2002	17105352	17105352N1
2002	17105352	17105352N2
2002	17105353	17105353N1
2002	17105353	17105353N2
2002	17105355	17105355N1
2002	17105355	17105355N2
2002	17105402	17105402N1
2002	17105402	17105402N2
2002	17105402	17105402N3
2002	17105403	17105403N1
2002	17105403	17105403N2
2002	17105403	17105403N3
2002	17105405	17105405N1
2002	17105405	17105405N2
2002	17105405	17105405N3
2002	17203212	17203212N1
2002	17203212	17203212N2
2002	17203212	17203212N3
2002	17203213	17203213N1
2002	17203213	17203213N2
2002	17203213	17203213N3
2002	17203214	17203214N1
2002	17203214	17203214N2
2002	17203214	17203214N3
2002	17203215	17203215N1
2002	17203215	17203215N2
2002	17203215	17203215N3
2002	17203219	17203219N1
2002	17203219	17203219N2
2002	17203219	17203219N3
