year	lyear	pc8	lpc8	entry	exit	lcount	count	oto	otm	mto	mtm	unchanged
2009	2008	7101000	7101000	0	0	1	1	0	0	0	0	1
2010	2009	7101000	7101000	0	0	1	1	0	0	0	0	1
2011	2010	7101000	7101000	0	0	1	1	0	0	0	0	1
2012	2011	7101000	7101000	0	0	1	1	0	0	0	0	1
2013	2012	7101000	7101000	0	0	1	1	0	0	0	0	1
2014	2013	7101000	7101000	0	0	1	1	0	0	0	0	1
2008	2007	7101000	13101030	0	0	2	1	0	0	1	0	0
2008	2007	7101000	13101050	0	0	2	1	0	0	1	0	0
2009	2008	7291100	7291100	0	0	1	1	0	0	0	0	1
2010	2009	7291100	7291100	0	0	1	1	0	0	0	0	1
2011	2010	7291100	7291100	0	0	1	1	0	0	0	0	1
2012	2011	7291100	7291100	0	0	1	1	0	0	0	0	1
2013	2012	7291100	7291100	0	0	1	1	0	0	0	0	1
2014	2013	7291100	7291100	0	0	1	1	0	0	0	0	1
2008	2007	7291100	13201100	0	0	1	1	1	0	0	0	0
2009	2008	7291200	7291200	0	0	1	1	0	0	0	0	1
2010	2009	7291200	7291200	0	0	1	1	0	0	0	0	1
2011	2010	7291200	7291200	0	0	1	1	0	0	0	0	1
2012	2011	7291200	7291200	0	0	1	1	0	0	0	0	1
2013	2012	7291200	7291200	0	0	1	1	0	0	0	0	1
2014	2013	7291200	7291200	0	0	1	1	0	0	0	0	1
2008	2007	7291200	13201200	0	0	1	1	1	0	0	0	0
2009	2008	7291300	7291300	0	0	1	1	0	0	0	0	1
2010	2009	7291300	7291300	0	0	1	1	0	0	0	0	1
2011	2010	7291300	7291300	0	0	1	1	0	0	0	0	1
2012	2011	7291300	7291300	0	0	1	1	0	0	0	0	1
2013	2012	7291300	7291300	0	0	1	1	0	0	0	0	1
2014	2013	7291300	7291300	0	0	1	1	0	0	0	0	1
2008	2007	7291300	13201300	0	0	1	1	1	0	0	0	0
2009	2008	7291400	7291400	0	0	1	1	0	0	0	0	1
2010	2009	7291400	7291400	0	0	1	1	0	0	0	0	1
2011	2010	7291400	7291400	0	0	1	1	0	0	0	0	1
2012	2011	7291400	7291400	0	0	1	1	0	0	0	0	1
2013	2012	7291400	7291400	0	0	1	1	0	0	0	0	1
2014	2013	7291400	7291400	0	0	1	1	0	0	0	0	1
2008	2007	7291400	13201400	0	0	1	1	1	0	0	0	0
2009	2008	7291500	7291500	0	0	1	1	0	0	0	0	1
2010	2009	7291500	7291500	0	0	1	1	0	0	0	0	1
2011	2010	7291500	7291500	0	0	1	1	0	0	0	0	1
2012	2011	7291500	7291500	0	0	1	1	0	0	0	0	1
2013	2012	7291500	7291500	0	0	1	1	0	0	0	0	1
2014	2013	7291500	7291500	0	0	1	1	0	0	0	0	1
2008	2007	7291500	13201530	0	0	3	1	0	0	1	0	0
2008	2007	7291500	13201550	0	0	3	1	0	0	1	0	0
2008	2007	7291500	13201570	0	0	3	1	0	0	1	0	0
2009	2008	7291900	7291900	0	0	1	1	0	0	0	0	1
2010	2009	7291900	7291900	0	0	1	1	0	0	0	0	1
2011	2010	7291900	7291900	0	0	1	1	0	0	0	0	1
2012	2011	7291900	7291900	0	0	1	1	0	0	0	0	1
2013	2012	7291900	7291900	0	0	1	1	0	0	0	0	1
2014	2013	7291900	7291900	0	0	1	1	0	0	0	0	1
2008	2007	7291900	13201630	0	0	3	1	0	0	1	0	0
2008	2007	7291900	13201650	0	0	3	1	0	0	1	0	0
2008	2007	7291900	13201690	0	0	3	1	0	0	1	0	0
2009	2008	8111133	8111133	0	0	1	1	0	0	0	0	1
2010	2009	8111133	8111133	0	0	1	1	0	0	0	0	1
2011	2010	8111133	8111133	0	0	1	1	0	0	0	0	1
2012	2011	8111133	8111133	0	0	1	1	0	0	0	0	1
2013	2012	8111133	8111133	0	0	1	1	0	0	0	0	1
2014	2013	8111133	8111133	0	0	1	1	0	0	0	0	1
2008	2007	8111133	14111133	0	0	1	1	1	0	0	0	0
2009	2008	8111136	8111136	0	0	1	1	0	0	0	0	1
2010	2009	8111136	8111136	0	0	1	1	0	0	0	0	1
2011	2010	8111136	8111136	0	0	1	1	0	0	0	0	1
2012	2011	8111136	8111136	0	0	1	1	0	0	0	0	1
2013	2012	8111136	8111136	0	0	1	1	0	0	0	0	1
2014	2013	8111136	8111136	0	0	1	1	0	0	0	0	1
2008	2007	8111136	14111135	0	0	2	1	0	0	1	0	0
2008	2007	8111136	14111137	0	0	2	1	0	0	1	0	0
2009	2008	8111150	8111150	0	0	1	1	0	0	0	0	1
2010	2009	8111150	8111150	0	0	1	1	0	0	0	0	1
2011	2010	8111150	8111150	0	0	1	1	0	0	0	0	1
2012	2011	8111150	8111150	0	0	1	1	0	0	0	0	1
2013	2012	8111150	8111150	0	0	1	1	0	0	0	0	1
2014	2013	8111150	8111150	0	0	1	1	0	0	0	0	1
2008	2007	8111150	14111150	0	0	1	1	1	0	0	0	0
2009	2008	8111233	8111233	0	0	1	1	0	0	0	0	1
2010	2009	8111233	8111233	0	0	1	1	0	0	0	0	1
2011	2010	8111233	8111233	0	0	1	1	0	0	0	0	1
2012	2011	8111233	8111233	0	0	1	1	0	0	0	0	1
2013	2012	8111233	8111233	0	0	1	1	0	0	0	0	1
2014	2013	8111233	8111233	0	0	1	1	0	0	0	0	1
2008	2007	8111233	14111233	0	0	1	1	1	0	0	0	0
2009	2008	8111236	8111236	0	0	1	1	0	0	0	0	1
2010	2009	8111236	8111236	0	0	1	1	0	0	0	0	1
2011	2010	8111236	8111236	0	0	1	1	0	0	0	0	1
2012	2011	8111236	8111236	0	0	1	1	0	0	0	0	1
2013	2012	8111236	8111236	0	0	1	1	0	0	0	0	1
2014	2013	8111236	8111236	0	0	1	1	0	0	0	0	1
2008	2007	8111236	14111235	0	0	2	1	0	0	1	0	0
2008	2007	8111236	14111237	0	0	2	1	0	0	1	0	0
2009	2008	8111250	8111250	0	0	1	1	0	0	0	0	1
2010	2009	8111250	8111250	0	0	1	1	0	0	0	0	1
2011	2010	8111250	8111250	0	0	1	1	0	0	0	0	1
2012	2011	8111250	8111250	0	0	1	1	0	0	0	0	1
2013	2012	8111250	8111250	0	0	1	1	0	0	0	0	1
2014	2013	8111250	8111250	0	0	1	1	0	0	0	0	1
2008	2007	8111250	14111250	0	0	1	1	1	0	0	0	0
2009	2008	8111290	8111290	0	0	1	1	0	0	0	0	1
2010	2009	8111290	8111290	0	0	1	1	0	0	0	0	1
2011	2010	8111290	8111290	0	0	1	1	0	0	0	0	1
2012	2011	8111290	8111290	0	0	1	1	0	0	0	0	1
2013	2012	8111290	8111290	0	0	1	1	0	0	0	0	1
2014	2013	8111290	8111290	0	0	1	1	0	0	0	0	1
2008	2007	8111290	14111290	0	0	2	1	0	0	0	1	0
2008	2007	8111290	14502315	0	0	2	2	0	0	0	1	0
2009	2008	8112030	8112030	0	0	1	1	0	0	0	0	1
2010	2009	8112030	8112030	0	0	1	1	0	0	0	0	1
2011	2010	8112030	8112030	0	0	1	1	0	0	0	0	1
2012	2011	8112030	8112030	0	0	1	1	0	0	0	0	1
2013	2012	8112030	8112030	0	0	1	1	0	0	0	0	1
2014	2013	8112030	8112030	0	0	1	1	0	0	0	0	1
2008	2007	8112030	14121030	0	0	1	1	1	0	0	0	0
2009	2008	8112050	8112050	0	0	1	1	0	0	0	0	1
2010	2009	8112050	8112050	0	0	1	1	0	0	0	0	1
2011	2010	8112050	8112050	0	0	1	1	0	0	0	0	1
2012	2011	8112050	8112050	0	0	1	1	0	0	0	0	1
2013	2012	8112050	8112050	0	0	1	1	0	0	0	0	1
2014	2013	8112050	8112050	0	0	1	1	0	0	0	0	1
2008	2007	8112050	14121050	0	0	1	1	1	0	0	0	0
2009	2008	8113010	8113010	0	0	1	1	0	0	0	0	1
2010	2009	8113010	8113010	0	0	1	1	0	0	0	0	1
2011	2010	8113010	8113010	0	0	1	1	0	0	0	0	1
2012	2011	8113010	8113010	0	0	1	1	0	0	0	0	1
2013	2012	8113010	8113010	0	0	1	1	0	0	0	0	1
2014	2013	8113010	8113010	0	0	1	1	0	0	0	0	1
2008	2007	8113010	14122010	0	0	1	1	1	0	0	0	0
2009	2008	8113030	8113030	0	0	1	1	0	0	0	0	1
2010	2009	8113030	8113030	0	0	1	1	0	0	0	0	1
2011	2010	8113030	8113030	0	0	1	1	0	0	0	0	1
2012	2011	8113030	8113030	0	0	1	1	0	0	0	0	1
2013	2012	8113030	8113030	0	0	1	1	0	0	0	0	1
2014	2013	8113030	8113030	0	0	1	1	0	0	0	0	1
2008	2007	8113030	14122030	0	0	1	1	1	0	0	0	0
2009	2008	8114000	8114000	0	0	1	1	0	0	0	0	1
2010	2009	8114000	8114000	0	0	1	1	0	0	0	0	1
2011	2010	8114000	8114000	0	0	1	1	0	0	0	0	1
2012	2011	8114000	8114000	0	0	1	1	0	0	0	0	1
2013	2012	8114000	8114000	0	0	1	1	0	0	0	0	1
2014	2013	8114000	8114000	0	0	1	1	0	0	0	0	1
2008	2007	8114000	14131000	0	0	1	1	1	0	0	0	0
2009	2008	8121150	8121150	0	0	1	1	0	0	0	0	1
2010	2009	8121150	8121150	0	0	1	1	0	0	0	0	1
2011	2010	8121150	8121150	0	0	1	1	0	0	0	0	1
2012	2011	8121150	8121150	0	0	1	1	0	0	0	0	1
2013	2012	8121150	8121150	0	0	1	1	0	0	0	0	1
2014	2013	8121150	8121150	0	0	1	1	0	0	0	0	1
2008	2007	8121150	14211150	0	0	1	1	1	0	0	0	0
2009	2008	8121190	8121190	0	0	1	1	0	0	0	0	1
2010	2009	8121190	8121190	0	0	1	1	0	0	0	0	1
2011	2010	8121190	8121190	0	0	1	1	0	0	0	0	1
2012	2011	8121190	8121190	0	0	1	1	0	0	0	0	1
2013	2012	8121190	8121190	0	0	1	1	0	0	0	0	1
2014	2013	8121190	8121190	0	0	1	1	0	0	0	0	1
2008	2007	8121190	14211190	0	0	1	1	1	0	0	0	0
2009	2008	8121210	8121210	0	0	1	1	0	0	0	0	1
2010	2009	8121210	8121210	0	0	1	1	0	0	0	0	1
2011	2010	8121210	8121210	0	0	1	1	0	0	0	0	1
2012	2011	8121210	8121210	0	0	1	1	0	0	0	0	1
2013	2012	8121210	8121210	0	0	1	1	0	0	0	0	1
2014	2013	8121210	8121210	0	0	1	1	0	0	0	0	1
2008	2007	8121210	14211210	0	0	1	1	1	0	0	0	0
2009	2008	8121230	8121230	0	0	1	1	0	0	0	0	1
2010	2009	8121230	8121230	0	0	1	1	0	0	0	0	1
2011	2010	8121230	8121230	0	0	1	1	0	0	0	0	1
2012	2011	8121230	8121230	0	0	1	1	0	0	0	0	1
2013	2012	8121230	8121230	0	0	1	1	0	0	0	0	1
2014	2013	8121230	8121230	0	0	1	1	0	0	0	0	1
2008	2007	8121230	14211230	0	0	1	1	1	0	0	0	0
2009	2008	8121250	8121250	0	0	1	1	0	0	0	0	1
2010	2009	8121250	8121250	0	0	1	1	0	0	0	0	1
2011	2010	8121250	8121250	0	0	1	1	0	0	0	0	1
2012	2011	8121250	8121250	0	0	1	1	0	0	0	0	1
2013	2012	8121250	8121250	0	0	1	1	0	0	0	0	1
2014	2013	8121250	8121250	0	0	1	1	0	0	0	0	1
2008	2007	8121250	14211250	0	0	1	1	1	0	0	0	0
2009	2008	8121290	8121290	0	0	1	1	0	0	0	0	1
2010	2009	8121290	8121290	0	0	1	1	0	0	0	0	1
2011	2010	8121290	8121290	0	0	1	1	0	0	0	0	1
2012	2011	8121290	8121290	0	0	1	1	0	0	0	0	1
2013	2012	8121290	8121290	0	0	1	1	0	0	0	0	1
2014	2013	8121290	8121290	0	0	1	1	0	0	0	0	1
2008	2007	8121290	14211290	0	0	1	1	1	0	0	0	0
2009	2008	8121300	8121300	0	0	1	1	0	0	0	0	1
2010	2009	8121300	8121300	0	0	1	1	0	0	0	0	1
2011	2010	8121300	8121300	0	0	1	1	0	0	0	0	1
2012	2011	8121300	8121300	0	0	1	1	0	0	0	0	1
2013	2012	8121300	8121300	0	0	1	1	0	0	0	0	1
2014	2013	8121300	8121300	0	0	1	1	0	0	0	0	1
2008	2007	8121300	14211330	0	0	1	1	1	0	0	0	0
2009	2008	8122140	8122140	0	0	1	1	0	0	0	0	1
2010	2009	8122140	8122140	0	0	1	1	0	0	0	0	1
2011	2010	8122140	8122140	0	0	1	1	0	0	0	0	1
2012	2011	8122140	8122140	0	0	1	1	0	0	0	0	1
2013	2012	8122140	8122140	0	0	1	1	0	0	0	0	1
2014	2013	8122140	8122140	0	0	1	1	0	0	0	0	1
2008	2007	8122140	14221140	0	0	1	1	1	0	0	0	0
2009	2008	8122160	8122160	0	0	1	1	0	0	0	0	1
2010	2009	8122160	8122160	0	0	1	1	0	0	0	0	1
2011	2010	8122160	8122160	0	0	1	1	0	0	0	0	1
2012	2011	8122160	8122160	0	0	1	1	0	0	0	0	1
2013	2012	8122160	8122160	0	0	1	1	0	0	0	0	1
2014	2013	8122160	8122160	0	0	1	1	0	0	0	0	1
2008	2007	8122160	14221160	0	0	1	1	1	0	0	0	0
2009	2008	8122210	8122210	0	0	1	1	0	0	0	0	1
2010	2009	8122210	8122210	0	0	1	1	0	0	0	0	1
2011	2010	8122210	8122210	0	0	1	1	0	0	0	0	1
2012	2011	8122210	8122210	0	0	1	1	0	0	0	0	1
2013	2012	8122210	8122210	0	0	1	1	0	0	0	0	1
2014	2013	8122210	8122210	0	0	1	1	0	0	0	0	1
2008	2007	8122210	14221210	0	0	1	1	1	0	0	0	0
2009	2008	8122230	8122230	0	0	1	1	0	0	0	0	1
2010	2009	8122230	8122230	0	0	1	1	0	0	0	0	1
2011	2010	8122230	8122230	0	0	1	1	0	0	0	0	1
2012	2011	8122230	8122230	0	0	1	1	0	0	0	0	1
2013	2012	8122230	8122230	0	0	1	1	0	0	0	0	1
2014	2013	8122230	8122230	0	0	1	1	0	0	0	0	1
2008	2007	8122230	14221230	0	0	1	1	1	0	0	0	0
2009	2008	8122250	8122250	0	0	1	1	0	0	0	0	1
2010	2009	8122250	8122250	0	0	1	1	0	0	0	0	1
2011	2010	8122250	8122250	0	0	1	1	0	0	0	0	1
2012	2011	8122250	8122250	0	0	1	1	0	0	0	0	1
2013	2012	8122250	8122250	0	0	1	1	0	0	0	0	1
2014	2013	8122250	8122250	0	0	1	1	0	0	0	0	1
2008	2007	8122250	14221250	0	0	1	1	1	0	0	0	0
2009	2008	8911100	8911100	0	0	1	1	0	0	0	0	1
2010	2009	8911100	8911100	0	0	1	1	0	0	0	0	1
2011	2010	8911100	8911100	0	0	1	1	0	0	0	0	1
2012	2011	8911100	8911100	0	0	1	1	0	0	0	0	1
2013	2012	8911100	8911100	0	0	1	1	0	0	0	0	1
2014	2013	8911100	8911100	0	0	1	1	0	0	0	0	1
2008	2007	8911100	14301130	0	0	1	1	1	0	0	0	0
2009	2008	8911200	8911200	0	0	1	1	0	0	0	0	1
2010	2009	8911200	8911200	0	0	1	1	0	0	0	0	1
2011	2010	8911200	8911200	0	0	1	1	0	0	0	0	1
2012	2011	8911200	8911200	0	0	1	1	0	0	0	0	1
2013	2012	8911200	8911200	0	0	1	1	0	0	0	0	1
2014	2013	8911200	8911200	0	0	1	1	0	0	0	0	1
2008	2007	8911200	14301230	0	0	2	1	0	0	1	0	0
2008	2007	8911200	14301250	0	0	2	1	0	0	1	0	0
2009	2008	8911900	8911900	0	0	1	1	0	0	0	0	1
2010	2009	8911900	8911900	0	0	1	1	0	0	0	0	1
2011	2010	8911900	8911900	0	0	1	1	0	0	0	0	1
2012	2011	8911900	8911900	0	0	1	1	0	0	0	0	1
2013	2012	8911900	8911900	0	0	1	1	0	0	0	0	1
2014	2013	8911900	8911900	0	0	1	1	0	0	0	0	1
2008	2007	8911900	14301313	0	0	8	1	0	0	1	0	0
2008	2007	8911900	14301315	0	0	8	1	0	0	1	0	0
2008	2007	8911900	14301355	0	0	8	1	0	0	1	0	0
2008	2007	8911900	14301359	0	0	8	1	0	0	1	0	0
2008	2007	8911900	14301373	0	0	8	1	0	0	1	0	0
2008	2007	8911900	14301375	0	0	8	1	0	0	1	0	0
2008	2007	8911900	14301383	0	0	8	1	0	0	1	0	0
2008	2007	8911900	14301389	0	0	8	1	0	0	1	0	0
2009	2008	8931000	8931000	0	0	1	1	0	0	0	0	1
2010	2009	8931000	8931000	0	0	1	1	0	0	0	0	1
2011	2010	8931000	8931000	0	0	1	1	0	0	0	0	1
2012	2011	8931000	8931000	0	0	1	1	0	0	0	0	1
2013	2012	8931000	8931000	0	0	1	1	0	0	0	0	1
2014	2013	8931000	8931000	0	0	1	1	0	0	0	0	1
2008	2007	8931000	14401000	0	0	1	2	0	1	0	0	0
2009	2008	8991000	8991000	0	0	1	1	0	0	0	0	1
2010	2009	8991000	8991000	0	0	1	1	0	0	0	0	1
2011	2010	8991000	8991000	0	0	1	1	0	0	0	0	1
2012	2011	8991000	8991000	0	0	1	1	0	0	0	0	1
2013	2012	8991000	8991000	0	0	1	1	0	0	0	0	1
2014	2013	8991000	8991000	0	0	1	1	0	0	0	0	1
2008	2007	8991000	14501000	0	0	1	1	1	0	0	0	0
2009	2008	8992100	8992100	0	0	1	1	0	0	0	0	1
2010	2009	8992100	8992100	0	0	1	1	0	0	0	0	1
2011	2010	8992100	8992100	0	0	1	1	0	0	0	0	1
2012	2011	8992100	8992100	0	0	1	1	0	0	0	0	1
2013	2012	8992100	8992100	0	0	1	1	0	0	0	0	1
2014	2013	8992100	8992100	0	0	1	1	0	0	0	0	1
2008	2007	8992100	14502150	0	0	2	1	0	0	1	0	0
2008	2007	8992100	14502190	0	0	2	1	0	0	1	0	0
2009	2008	8992200	8992200	0	0	1	1	0	0	0	0	1
2010	2009	8992200	8992200	0	0	1	1	0	0	0	0	1
2011	2010	8992200	8992200	0	0	1	1	0	0	0	0	1
2012	2011	8992200	8992200	0	0	1	1	0	0	0	0	1
2013	2012	8992200	8992200	0	0	1	1	0	0	0	0	1
2014	2013	8992200	8992200	0	0	1	1	0	0	0	0	1
2008	2007	8992200	14502250	0	0	2	1	0	0	1	0	0
2008	2007	8992200	14502270	0	0	2	1	0	0	1	0	0
2009	2008	8992900	8992900	0	0	1	1	0	0	0	0	1
2010	2009	8992900	8992900	0	0	1	1	0	0	0	0	1
2011	2010	8992900	8992900	0	0	1	1	0	0	0	0	1
2012	2011	8992900	8992900	0	0	1	1	0	0	0	0	1
2013	2012	8992900	8992900	0	0	1	1	0	0	0	0	1
2014	2013	8992900	8992900	0	0	1	1	0	0	0	0	1
2008	2007	8992900	14502313	0	0	12	1	0	0	0	1	0
2008	2007	8992900	14502315	0	0	12	2	0	0	0	1	0
2008	2007	8992900	14502320	0	0	12	1	0	0	0	1	0
2008	2007	8992900	14502333	0	0	12	1	0	0	0	1	0
2008	2007	8992900	14502335	0	0	12	1	0	0	0	1	0
2008	2007	8992900	14502340	0	0	12	1	0	0	0	1	0
2008	2007	8992900	14502353	0	0	12	1	0	0	0	1	0
2008	2007	8992900	14502355	0	0	12	1	0	0	0	1	0
2008	2007	8992900	14502363	0	0	12	1	0	0	0	1	0
2008	2007	8992900	14502365	0	0	12	1	0	0	0	1	0
2008	2007	8992900	14502370	0	0	12	1	0	0	0	1	0
2008	2007	8992900	14502380	0	0	12	1	0	0	0	1	0
2002	2001	10101130	10101130	0	0	1	1	0	0	0	0	1
2003	2002	10101130	10101130	0	0	1	1	0	0	0	0	1
2004	2003	10101130	10101130	0	0	1	1	0	0	0	0	1
2002	2001	10101150	10101150	0	0	1	1	0	0	0	0	1
2003	2002	10101150	10101150	0	0	1	1	0	0	0	0	1
2004	2003	10101150	10101150	0	0	1	1	0	0	0	0	1
2002	2001	10101200	10101200	0	0	1	1	0	0	0	0	1
2003	2002	10101200	10101200	0	0	1	1	0	0	0	0	1
2004	2003	10101200	10101200	0	0	1	1	0	0	0	0	1
2009	2008	10111140	10111140	0	0	1	1	0	0	0	0	1
2010	2009	10111140	10111140	0	0	1	1	0	0	0	0	1
2011	2010	10111140	10111140	0	0	1	1	0	0	0	0	1
2012	2011	10111140	10111140	0	0	1	1	0	0	0	0	1
2013	2012	10111140	10111140	0	0	1	1	0	0	0	0	1
2014	2013	10111140	10111140	0	0	1	1	0	0	0	0	1
2008	2007	10111140	15111140	0	0	1	1	1	0	0	0	0
2009	2008	10111190	10111190	0	0	1	1	0	0	0	0	1
2010	2009	10111190	10111190	0	0	1	1	0	0	0	0	1
2011	2010	10111190	10111190	0	0	1	1	0	0	0	0	1
2012	2011	10111190	10111190	0	0	1	1	0	0	0	0	1
2013	2012	10111190	10111190	0	0	1	1	0	0	0	0	1
2014	2013	10111190	10111190	0	0	1	1	0	0	0	0	1
2008	2007	10111190	15111190	0	0	1	1	1	0	0	0	0
2009	2008	10111230	10111230	0	0	1	1	0	0	0	0	1
2010	2009	10111230	10111230	0	0	1	1	0	0	0	0	1
2011	2010	10111230	10111230	0	0	1	1	0	0	0	0	1
